uid,hn,street,boro,state
92694,32-27,167TH ST,QUEENS,NY
92695,32-30,167TH ST,QUEENS,NY
92696,32-31,167TH ST,QUEENS,NY
92697,32-32,167TH ST,QUEENS,NY
92698,32-35,167TH ST,QUEENS,NY
92699,33-01,167TH ST,QUEENS,NY
92700,33-06,167TH ST,QUEENS,NY
92701,33-11,167TH ST,QUEENS,NY
92702,33-12,167TH ST,QUEENS,NY
92703,33-15,167TH ST,QUEENS,NY
92704,33-16,167TH ST,QUEENS,NY
92705,33-20,167TH ST,QUEENS,NY
92706,33-21,167TH ST,QUEENS,NY
92707,33-23,167TH ST,QUEENS,NY
92708,33-24,167TH ST,QUEENS,NY
92709,33-27,167TH ST,QUEENS,NY
92710,33-28,167TH ST,QUEENS,NY
92711,33-31,167TH ST,QUEENS,NY
92712,33-34,167TH ST,QUEENS,NY
92713,33-35,167TH ST,QUEENS,NY
92714,33-36,167TH ST,QUEENS,NY
92715,33-40,167TH ST,QUEENS,NY
92716,33-41,167TH ST,QUEENS,NY
92717,33-43,167TH ST,QUEENS,NY
92718,33-44,167TH ST,QUEENS,NY
92719,33-47,167TH ST,QUEENS,NY
92720,33-48,167TH ST,QUEENS,NY
92721,33-50,167TH ST,QUEENS,NY
92722,33-51,167TH ST,QUEENS,NY
92723,33-54,167TH ST,QUEENS,NY
92724,33-55,167TH ST,QUEENS,NY
92725,33-56,167TH ST,QUEENS,NY
92726,33-60,167TH ST,QUEENS,NY
92727,33-61,167TH ST,QUEENS,NY
92728,33-64,167TH ST,QUEENS,NY
92729,33-65,167TH ST,QUEENS,NY
92730,33-69,167TH ST,QUEENS,NY
92731,33-72,167TH ST,QUEENS,NY
92732,33-76,167TH ST,QUEENS,NY
92733,35-05,167TH ST,QUEENS,NY
92734,35-11/15,167TH ST,QUEENS,NY
92735,35-14,167TH ST,QUEENS,NY
92736,35-19,167TH ST,QUEENS,NY
92737,35-20,167TH ST,QUEENS,NY
92738,35-25,167TH ST,QUEENS,NY
92739,35-28,167TH ST,QUEENS,NY
92740,35-31,167TH ST,QUEENS,NY
92741,35-34,167TH ST,QUEENS,NY
92742,35-35,167TH ST,QUEENS,NY
92743,35-40,167TH ST,QUEENS,NY
92744,35-44,167TH ST,QUEENS,NY
92745,35-45,167TH ST,QUEENS,NY
92746,35-49,167TH ST,QUEENS,NY
92747,35-56,167TH ST,QUEENS,NY
92748,35-57,167TH ST,QUEENS,NY
92749,35-61,167TH ST,QUEENS,NY
92750,35-62,167TH ST,QUEENS,NY
92751,36-02,167TH ST,QUEENS,NY
92752,36-08,167TH ST,QUEENS,NY
92753,36-12,167TH ST,QUEENS,NY
92754,36-16,167TH ST,QUEENS,NY
92755,36-20,167TH ST,QUEENS,NY
92756,36-24,167TH ST,QUEENS,NY
92757,36-28,167TH ST,QUEENS,NY
92758,36-32,167TH ST,QUEENS,NY
92759,36-36,167TH ST,QUEENS,NY
92760,36-40,167TH ST,QUEENS,NY
92761,32-04,168TH ST,QUEENS,NY
92762,32-05,168TH ST,QUEENS,NY
92763,32-08,168TH ST,QUEENS,NY
92764,32-14,168TH ST,QUEENS,NY
92765,32-15,168TH ST,QUEENS,NY
92766,32-17,168TH ST,QUEENS,NY
92767,32-18,168TH ST,QUEENS,NY
92768,32-21,168TH ST,QUEENS,NY
92769,32-25,168TH ST,QUEENS,NY
92770,32-26,168TH ST,QUEENS,NY
92771,32-30,168TH ST,QUEENS,NY
92772,32-31,168TH ST,QUEENS,NY
92773,32-32,168TH ST,QUEENS,NY
92774,32-37,168TH ST,QUEENS,NY
92775,33-02,168TH ST,QUEENS,NY
92776,33-05,168TH ST,QUEENS,NY
92777,33-11,168TH ST,QUEENS,NY
92778,33-12,168TH ST,QUEENS,NY
92779,33-16,168TH ST,QUEENS,NY
92780,33-17,168TH ST,QUEENS,NY
92781,33-20,168TH ST,QUEENS,NY
92782,33-21,168TH ST,QUEENS,NY
92783,33-24,168TH ST,QUEENS,NY
92784,33-27,168TH ST,QUEENS,NY
92785,33-28,168TH ST,QUEENS,NY
92786,33-31,168TH ST,QUEENS,NY
92787,33-32,168TH ST,QUEENS,NY
92788,33-35,168TH ST,QUEENS,NY
92789,33-38,168TH ST,QUEENS,NY
92790,33-39,168TH ST,QUEENS,NY
92791,33-42,168TH ST,QUEENS,NY
92792,33-43,168TH ST,QUEENS,NY
92793,33-46,168TH ST,QUEENS,NY
92794,33-47,168TH ST,QUEENS,NY
92795,33-52,168TH ST,QUEENS,NY
92796,33-53,168TH ST,QUEENS,NY
92797,33-57,168TH ST,QUEENS,NY
92798,33-58,168TH ST,QUEENS,NY
92799,33-61,168TH ST,QUEENS,NY
92800,33-64,168TH ST,QUEENS,NY
92801,33-65,168TH ST,QUEENS,NY
92802,33-66,168TH ST,QUEENS,NY
92803,33-64,168TH ST,QUEENS,NY
92804,33-70,168TH ST,QUEENS,NY
92805,33-72,168TH ST,QUEENS,NY
92806,33-80,168TH ST,QUEENS,NY
92807,35-02,168TH ST,QUEENS,NY
92808,35-06,168TH ST,QUEENS,NY
92809,35-10,168TH ST,QUEENS,NY
92810,35-11,168TH ST,QUEENS,NY
92811,35-14,168TH ST,QUEENS,NY
92812,35-15,168TH ST,QUEENS,NY
92813,35-17,168TH ST,QUEENS,NY
92814,35-18,168TH ST,QUEENS,NY
92815,35-21,168TH ST,QUEENS,NY
92816,35-22,168TH ST,QUEENS,NY
92817,35-25,168TH ST,QUEENS,NY
92818,35-26,168TH ST,QUEENS,NY
92819,35-30,168TH ST,QUEENS,NY
92820,35-31,168TH ST,QUEENS,NY
92821,35-32,168TH ST,QUEENS,NY
92822,35-35,168TH ST,QUEENS,NY
92823,35-37,168TH ST,QUEENS,NY
92824,35-39,168TH ST,QUEENS,NY
92825,35-40,168TH ST,QUEENS,NY
92826,35-41,168TH ST,QUEENS,NY
92827,35-46,168TH ST,QUEENS,NY
92828,35-50,168TH ST,QUEENS,NY
92829,35-51,168TH ST,QUEENS,NY
92830,35-54,168TH ST,QUEENS,NY
92831,35-55,168TH ST,QUEENS,NY
92832,35-59,168TH ST,QUEENS,NY
92833,35-63,168TH ST,QUEENS,NY
92834,32-06,169TH ST,QUEENS,NY
92835,32-13,169TH ST,QUEENS,NY
92836,32-14,169TH ST,QUEENS,NY
92837,32-15,169TH ST,QUEENS,NY
92838,32-18,169TH ST,QUEENS,NY
92839,32-20,169TH ST,QUEENS,NY
92840,32-21,169TH ST,QUEENS,NY
92841,32-25,169TH ST,QUEENS,NY
92842,32-26,169TH ST,QUEENS,NY
92843,32-30,169TH ST,QUEENS,NY
92844,32-31,169TH ST,QUEENS,NY
92845,32-32,169TH ST,QUEENS,NY
92846,32-37,169TH ST,QUEENS,NY
92847,33-01,169TH ST,QUEENS,NY
92848,33-02,169TH ST,QUEENS,NY
92849,33-08,169TH ST,QUEENS,NY
92850,33-11,169TH ST,QUEENS,NY
92851,33-12,169TH ST,QUEENS,NY
92852,33-15,169TH ST,QUEENS,NY
92853,33-19,169TH ST,QUEENS,NY
92854,33-20,169TH ST,QUEENS,NY
92855,33-23,169TH ST,QUEENS,NY
92856,33-26,169TH ST,QUEENS,NY
92857,33-29,169TH ST,QUEENS,NY
92858,33-33,169TH ST,QUEENS,NY
92859,33-39,169TH ST,QUEENS,NY
92860,33-40,169TH ST,QUEENS,NY
92861,33-42,169TH ST,QUEENS,NY
92862,33-43,169TH ST,QUEENS,NY
92863,33-44,169TH ST,QUEENS,NY
92864,33-45,169TH ST,QUEENS,NY
92865,33-48,169TH ST,QUEENS,NY
92866,33-49,169TH ST,QUEENS,NY
92867,33-52,169TH ST,QUEENS,NY
92868,33-56,169TH ST,QUEENS,NY
92869,33-59,169TH ST,QUEENS,NY
92870,33-62,169TH ST,QUEENS,NY
92871,33-65,169TH ST,QUEENS,NY
92872,33-68,169TH ST,QUEENS,NY
92873,33-69,169TH ST,QUEENS,NY
